locus	selected_path_id	source	segmentation	rule
f83v.11	f83v.11|P01	pchedar shedal qokar shedal okchdy qokedy okail shedy qoky lsheg	pchedar | shedal | qokar | shedal | okchdy | qokedy | okail | shedy | qoky | lsheg	source-symbol stream
f83v.12	f83v.12|P01	daiin shckhy qoeeo lldar cheey qoal qokeedy olkar sheedy qokain olal	daiin | shckhy | qoeeo | lldar | cheey | qoal | qokeedy | olkar | sheedy | qokain | olal	source-symbol stream
f83v.13	f83v.13|P01	qol chey qo lched qolky qokal chedy chedy daiin chckhy cheor ol lal	qol | chey | qo | lched | qolky | qokal | chedy | chedy | daiin | chckhy | cheor | ol | lal	source-symbol stream
f83v.14	f83v.14|P01	salched qol shedy qolchedy qolchdy qol rchedy cheol qokeor sholdy	salched | qol | shedy | qolchedy | qolchdy | qol | rchedy | cheol | qokeor | sholdy	source-symbol stream
f83v.15	f83v.15|P01	qokaiin cheol shey qokeey cheol dal cheeaiin olkeedy qokal chaloly	qokaiin | cheol | shey | qokeey | cheol | dal | cheeaiin | olkeedy | qokal | chaloly	source-symbol stream
f83v.16	f83v.16|P01	daiin qokal sheckhey qokeey chal qokeey qokaiin chedy sar al	daiin | qokal | sheckhey | qokeey | chal | qokeey | qokaiin | chedy | sar | al	source-symbol stream
f83v.17	f83v.17|P01	qokain cheeal qokaiin sheol qokear cheedy olcheey qokal qokay	qokain | cheeal | qokaiin | sheol | qokear | cheedy | olcheey | qokal | qokay	source-symbol stream
f83v.18	f83v.18|P01	s olkeedy qokeedy qokeedy saiin okaiin chedy qokeedy qolkeedy	s | olkeedy | qokeedy | qokeedy | saiin | okaiin | chedy | qokeedy | qolkeedy	source-symbol stream
f83v.19	f83v.19|P01	qolchedy qolteedy qokeedy qokal okaiin chear checkhy dal checkhdy	qolchedy | qolteedy | qokeedy | qokal | okaiin | chear | checkhy | dal | checkhdy	source-symbol stream
f83v.2	f83v.2|P01	dol shedy qokedy shedy qotedar checthedy qokedy qotal chey dar	dol | shedy | qokedy | shedy | qotedar | checthedy | qokedy | qotal | chey | dar	source-symbol stream
f83v.20	f83v.20|P01	tocthey cheor olol cheol tedy sheckhal sheeckhy cheal	tocthey | cheor | olol | cheol | tedy | sheckhal | sheeckhy | cheal	source-symbol stream
f83v.21	f83v.21|P01	qokeed qokaiin sheolkain sheol olkeedy l shedy	qokeed | qokaiin | sheolkain | sheol | olkeedy | l | shedy	source-symbol stream
f83v.22	f83v.22|P01	char qokar cheolkain shckhey qokal cheor ols	char | qokar | cheolkain | shckhey | qokal | cheor | ols	source-symbol stream
f83v.23	f83v.23|P01	qol aiiin chckhedy sheol qokaiin shckhy lchey	qol | aiiin | chckhedy | sheol | qokaiin | shckhy | lchey	source-symbol stream
f83v.24	f83v.24|P01	ol cheedy qokeedy qokain dalshal shldy lor	ol | cheedy | qokeedy | qokain | dalshal | shldy | lor	source-symbol stream
f83v.25	f83v.25|P01	y shey otechd ar okol dal shedy qokaly	y | shey | otechd | ar | okol | dal | shedy | qokaly	source-symbol stream
f83v.26	f83v.26|P01	sal chear shey qokar shedy qokain ollchy	sal | chear | shey | qokar | shedy | qokain | ollchy	source-symbol stream
f83v.27	f83v.27|P01	dsheol cheol shedy qokaiin cheeky lols	dsheol | cheol | shedy | qokaiin | cheeky | lols	source-symbol stream
f83v.28	f83v.28|P01	qol shol cheedy qol oqo qokain olsheam	qol | shol | cheedy | qol | oqo | qokain | olsheam	source-symbol stream
f83v.29	f83v.29|P01	ol cheal shedy chey tal shedal dalshdy	ol | cheal | shedy | chey | tal | shedal | dalshdy	source-symbol stream
f83v.3	f83v.3|P01	qotain chcthy dal olkedy shedy qotaldy qokaiin dair shedy oteey	qotain | chcthy | dal | olkedy | shedy | qotaldy | qokaiin | dair | shedy | oteey	source-symbol stream
f83v.30	f83v.30|P01	qokaiin chedy qokal otal chedy qotals	qokaiin | chedy | qokal | otal | chedy | qotals	source-symbol stream
f83v.31	f83v.31|P01	oychey qol qokal chedy qoty	oychey | qol | qokal | chedy | qoty	source-symbol stream
f83v.32	f83v.32|P01	qol olain sheol qo qokal sheol	qol | olain | sheol | qo | qokal | sheol	source-symbol stream
f83v.33	f83v.33|P01	shey opchey cthey oly	shey | opchey | cthey | oly	source-symbol stream
f83v.34	f83v.34|P01	okchdy	okchdy	source-symbol stream
f83v.35	f83v.35|P01	okaiin	okaiin	source-symbol stream
f83v.4	f83v.4|P01	dain sheedy oteeody doldy qotedy qokeedy qokedar sheoldy qol oly	dain | sheedy | oteeody | doldy | qotedy | qokeedy | qokedar | sheoldy | qol | oly	source-symbol stream
f83v.5	f83v.5|P01	qokal shedy qotain chedy chedol daiin otaiin shedy qokeedy okaiin	qokal | shedy | qotain | chedy | chedol | daiin | otaiin | shedy | qokeedy | okaiin	source-symbol stream
f83v.6	f83v.6|P01	chedy qoteedy otalshedy sol chl es okeol shedy qokolchedy qokal	chedy | qoteedy | otalshedy | sol | chl | es | okeol | shedy | qokolchedy | qokal	source-symbol stream
f83v.7	f83v.7|P01	qokeey oteey qokalol chedy dy dol qokal olkshedy qokeedy qokal	qokeey | oteey | qokalol | chedy | dy | dol | qokal | olkshedy | qokeedy | qokal	source-symbol stream
f83v.8	f83v.8|P01	rolkeedy qokaiin okaiin ched okchey	rolkeedy | qokaiin | okaiin | ched | okchey	source-symbol stream
f83v.9	f83v.9|P01	ololary	ololary	source-symbol stream
f84r.1	f84r.1|P01	ololal	ololal	source-symbol stream
f84r.10	f84r.10|P01	okolshy	okolshy	source-symbol stream
f84r.11	f84r.11|P01	otoly	otoly	source-symbol stream
f84r.12	f84r.12|P01	dshedy	dshedy	source-symbol stream
f84r.13	f84r.13|P01	kol chedy qokeey otedy dytedy okeedy olshed opshed ykshedy qotedy opoly	kol | chedy | qokeey | otedy | dytedy | okeedy | olshed | opshed | ykshedy | qotedy | opoly	source-symbol stream
f84r.14	f84r.14|P01	tol or sheey chckhdy schckhy dal y shedy otedy qol or ol eedy qokeey or oly	tol | or | sheey | chckhdy | schckhy | dal | y | shedy | otedy | qol | or | ol | eedy | qokeey | or | oly	source-symbol stream
f84r.15	f84r.15|P01	qokeey dar shedy qokedy qokeedy qokedy chedy okain chey qokedy dar olardy	qokeey | dar | shedy | qokedy | qokeedy | qokedy | chedy | okain | chey | qokedy | dar | olardy	source-symbol stream
f84r.16	f84r.16|P01	tor shedytedy ol ol cheol shedy shckhy qokal olkedy	tor | shedytedy | ol | ol | cheol | shedy | shckhy | qokal | olkedy	source-symbol stream
