world	nonwrapper_gain	full_gain	max_two_gain
3388	7.951983083	-34.870428872	7.951983083
3389	-1.487269609	-58.100762647	-1.487269609
3390	6.152467012	-56.787004180	6.152467012
3391	-1.574972270	-68.994440990	-1.574972270
3392	7.838860508	-84.470497587	7.838860508
3393	-2.440070348	-89.690055588	-2.440070348
3394	6.018405139	-52.440467870	6.018405139
3395	6.590512095	-41.778263190	6.590512095
3396	7.296211198	-55.504125689	7.296211198
3397	-0.971826568	-38.591728100	-0.971826568
3398	7.336070231	-39.273677508	7.336070231
3399	-0.271000272	-49.700094610	-0.271000272
3400	7.927004948	-86.145388809	7.927004948
3401	7.587178543	-36.843965518	7.587178543
3402	-9.254590429	-56.976000922	-9.254590429
3403	-2.873072242	-67.315247107	-2.873072242
3404	6.239790866	-74.904539650	6.239790866
3405	-9.730887866	-38.286844610	-9.730887866
3406	-1.550395874	-88.210604859	-1.550395874
3407	-1.987388610	-51.446658789	-1.987388610
3408	15.023030335	-52.495813357	15.023030335
3409	-2.439239205	-93.494255779	-2.439239205
3410	6.493543481	-3.775238879	6.493543481
3411	-0.848734380	-95.708015799	-0.848734380
3412	-1.974288068	-83.384681029	-1.974288068
3413	-2.172454668	-53.456617293	-2.172454668
3414	6.858025705	-60.060368589	6.858025705
3415	7.492453851	-38.381403349	7.492453851
3416	7.479297352	-58.031623710	7.479297352
3417	-2.649191070	-73.122953129	-2.649191070
3418	-1.742088629	-59.989512141	-1.742088629
3419	7.517596925	-73.346280450	7.517596925
3420	7.692959925	-26.067392214	7.692959925
3421	6.460523401	-65.762211209	6.460523401
3422	-2.422414403	-52.878140170	-2.422414403
3423	7.946950866	-42.398908311	7.946950866
3424	-1.983633792	-90.869032345	-1.983633792
3425	-1.921941266	-54.702103296	-1.921941266
3426	6.193887701	-28.433900945	6.193887701
3427	5.825519627	-39.349202938	5.825519627
3428	-11.227002287	-76.888445790	-11.227002287
3429	6.590512095	-51.925425740	6.590512095
3430	-1.754830443	-63.149150238	-1.754830443
3431	-1.285704610	-71.771075166	-1.285704610
3432	16.393038650	-48.050386173	16.393038650
3433	-9.464484220	-88.963613156	-9.464484220
3434	15.456570038	-30.482723316	15.456570038
3435	7.131639930	-73.205988056	7.131639930
3436	15.973894545	-23.873393520	15.973894545
3437	-10.620830311	-71.022582882	-10.620830311
3438	16.305405385	-53.682360059	16.305405385
3439	-9.726919529	-63.273592071	-9.726919529
3440	6.149307313	-70.140185391	6.149307313
3441	-2.394042941	-98.290835783	-2.394042941
3442	16.049006156	-87.648954905	16.049006156
3443	6.648567681	-71.816922899	6.648567681
3444	-3.088149632	-58.246309598	-3.088149632
3445	6.286684292	-54.403989362	6.286684292
3446	-2.791420241	-69.877615909	-2.791420241
3447	7.563837942	-39.095988860	7.563837942
3448	7.286256803	-86.314249647	7.286256803
3449	-1.714351265	-84.486424621	-1.714351265
3450	-1.942762844	-79.942353478	-1.942762844
3451	7.110774242	-52.170875623	7.110774242
3452	16.108596054	-32.481036430	16.108596054
3453	-9.696845535	-72.479569280	-9.696845535
3454	-0.446421347	-81.390564105	-0.446421347
3455	7.362382820	-86.079979878	7.362382820
3456	6.844316492	-21.471313959	6.844316492
3457	6.688685213	-63.321588539	6.688685213
3458	-1.668493478	-82.111233866	-1.668493478
3459	-1.329778535	-56.875403172	-1.329778535
3460	15.314964218	-40.223042380	15.314964218
3461	-11.689934559	-76.152903650	-11.689934559
3462	15.464249082	-69.515258211	15.464249082
3463	-0.685440512	-49.793738056	-0.685440512
3464	15.761843161	-40.653357375	15.761843161
3465	7.326261115	-61.602190268	7.326261115
3466	6.932246527	-102.541048994	6.932246527
3467	7.501050981	-83.079723344	7.501050981
3468	8.027042155	-45.274952014	8.027042155
3469	6.406814745	-88.382377832	6.406814745
3470	13.781966127	-37.973337950	13.781966127
3471	14.809337209	-53.132639024	14.809337209
3472	7.731100146	-67.593500638	7.731100146
3473	6.841439229	-21.602587392	6.841439229
3474	7.103912784	-65.248640039	7.103912784
3475	-0.905995096	-20.731917714	-0.905995096
3476	7.472643667	-73.288963336	7.472643667
3477	-11.071450331	-92.023809135	-11.071450331
3478	7.079411432	-61.649393156	7.079411432
3479	7.085706211	-60.024591040	7.085706211
3480	6.614226795	-54.403126986	6.614226795
3481	-1.382991808	-48.239466228	-1.382991808
3482	6.639886192	-76.346063409	6.639886192
3483	-2.366571257	-83.273218631	-2.366571257
3484	-9.953227434	-56.869167073	-9.953227434
3485	16.326313907	-39.622461088	16.326313907
3486	15.286564409	-28.035435520	15.286564409
3487	15.226614180	-56.318227295	15.226614180
3488	6.456826657	-57.697211706	6.456826657
3489	6.217922784	-60.226229916	6.217922784
3490	14.817878470	-57.962104878	14.817878470
3491	-10.107073729	-66.615377901	-10.107073729
3492	6.050011994	-64.373043458	6.050011994
3493	-19.362894608	-64.997539510	-19.362894608
3494	6.409907421	-47.272275119	6.409907421
3495	16.136279090	-36.690322408	16.136279090
3496	-0.895392377	-66.828551745	-0.895392377
3497	6.497793346	-60.805106915	6.497793346
3498	-9.734629127	-33.004347521	-9.734629127
3499	-20.093860439	-109.807992493	-20.093860439
3500	-1.152068667	-48.823750490	-1.152068667
3501	6.602899798	-32.837343376	6.602899798
3502	-1.720157792	-103.640897270	-1.720157792
3503	-1.767218146	-66.989002329	-1.767218146
3504	16.559244943	-47.303887509	16.559244943
3505	7.321557250	-53.046886320	7.321557250
3506	15.507974214	14.263726741	15.507974214
3507	-2.647071278	-78.829691984	-2.647071278
