language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
middle_high_german	b	3	L	1.0	s	0.3333333333333333	L,L,L,L,L,L	s,f,s,u,o,t
middle_high_german	u	3	L	1.0	c	0.3333333333333333	L,L,L,L,L,L	c,r,r,a,c,z
middle_high_german	c	1	L	1.0	r	0.3333333333333333	L,L,L,L,L,L	r,r,z,t,h,z
middle_high_german	h	1	L	1.0	u	0.3333333333333333	L,L,L,L,L,L	u,u,t,a,i,r
middle_high_german	ar	766	W	0.8333333333333334	uuaere	0.3333333333333333	W,W,S,W,W,W	uuaere,geschiht,der,ritter,durch,uuaere
middle_high_german	aN	556	S	0.8333333333333334	und	0.3333333333333333	W,S,S,S,S,S	gesehen,und,und,ich,iht,der
middle_high_german	l	524	S	0.8333333333333334	sin	0.3333333333333333	S,S,S,S,N,S	sin,ger,sin,der,,ber
middle_high_german	daI	148	L	0.8333333333333334	z	0.3333333333333333	L,L,L,L,S,L	z,t,e,z,sol,e
middle_high_german	ai	143	L	0.8333333333333334	i	0.3333333333333333	D,L,L,L,L,L	uu,m,e,i,a,i
middle_high_german	a	128	L	0.8333333333333334	e	0.3333333333333333	N,L,L,L,L,L	,e,i,e,i,s
middle_high_german	K	98	L	0.8333333333333334	i	0.3333333333333333	L,L,L,L,L,S	e,i,l,i,z,en
middle_high_german	eol	75	L	0.8333333333333334	n	0.3333333333333333	L,L,S,L,L,L	n,n,von,o,t,e
middle_high_german	q	71	L	0.8333333333333334	s	0.3333333333333333	L,L,L,D,L,L	s,s,l,uu,l,n
middle_high_german	ky	69	L	0.8333333333333334	e	0.3333333333333333	L,L,L,L,S,L	e,z,t,e,den,t
middle_high_german	z	1	L	0.8333333333333334	p	0.3333333333333333	L,D,L,L,L,L	i,ll,u,n,p,p
middle_high_german	ot	689	S	0.6666666666666666		0.3333333333333333	S,S,N,S,S,N	si,er,,ers,ger,
middle_high_german	E	497	S	0.6666666666666666		0.3333333333333333	N,S,S,S,N,S	,uue,ein,ch,,man
middle_high_german	qo	233	S	0.6666666666666666	man	0.3333333333333333	S,S,L,S,S,L	man,sin,i,vro,man,s
middle_high_german	olk	152	L	0.6666666666666666	i	0.3333333333333333	S,L,L,L,L,S	uua,i,i,s,z,ge
middle_high_german	T	121	L	0.6666666666666666	s	0.3333333333333333	S,S,L,L,L,L	ge,ges,r,s,s,n
middle_high_german	So	76	S	0.6666666666666666	e	0.3333333333333333	S,S,L,L,S,S	ist,sol,e,e,mir,hie
middle_high_german	qokaN	72	D	0.6666666666666666	ff	0.3333333333333333	D,D,D,L,L,D	ff,ff,zz,z,t,zz
middle_high_german	Sy	68	S	0.6666666666666666	t	0.3333333333333333	L,S,S,S,L,S	t,get,im,ter,t,ten
middle_high_german	qokedy	62	L	0.6666666666666666	z	0.3333333333333333	L,L,L,L,S,D	r,z,z,t,est,pp
