unit_id	edition	page	physical_folio	star_ordinal	locus	rays	tail	color	provenance	open_host_sha256	body_host_sha256	claim_state
eeabe6c531a492300e0d	ZL3b	f107v	f107	1	f107v.1	6	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	60ded843a64c217a7744e8f777433b35a1f72521b8d53dc43a3a3d3507125298	1c50a9b438b71b28350fdf7dcccdc00d75f98c6cb2b53aa3d3e1dd0db9b730a7	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
ef768d9858f0321f9b2c	ZL3b	f107v	f107	2	f107v.5	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	feeb56ff686b5d241b4956cbf02859ccc92633b206025ecf3de686274fc81e63	0d86d3e56e8f2d9bcdaef7779c35f752ac54c6f33687455a5f01b9a2d7fbbea5	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
3f44b486b638e6a9e265	ZL3b	f107v	f107	3	f107v.8	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	e67504c768b28a43df898495302b345a63764d9ccdbb986f824397d19ba97871	55fc02c664917c82d34ad04dda194dbcd4bd7a49b49700728260cc06124221ee	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
7997dc9193101e3b972a	ZL3b	f107v	f107	4	f107v.11	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	c45025634ab265db893cdec1c002e6567f431263cd4f5518eaa19212d5e6cc29	83669721936ee9737e8a094bed44a5e675d5a2d7d5fd82db55864f136c7cdee7	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
815c947dbc0259999872	ZL3b	f107v	f107	5	f107v.16	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	32f31bcbcedc6f0c2e8815539eb7bbb0dcd59984c72593c1910b49e46e887945	eda4726e7da9d8012f5973dba57e588eaf6a6be78800dfdb894fe9f86ee9bc07	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
ffa80919cf3c855b7bd1	ZL3b	f107v	f107	6	f107v.20	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	8a5ab463e8c7868fbe16265f55eb5390e4d560175a53a077a211241aefc4f8d4	c21a815750d5f8d87e9eeb6137f13e082435cd60a8a15e9c4b72d38eae00cfb9	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
6907d75f87c9840f4ee5	ZL3b	f107v	f107	7	f107v.23	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	700cd0a85480265b2c9664d288287c81938697fcb414426b2f1a8a5727ccf10f	ca2d6482dd9903fd493a9f20673c32a2e50a810a2b97fb44ccfdfb5b61672fdb	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
ee71075cae29e25eaa83	ZL3b	f107v	f107	8	f107v.25	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	80cfe455f93c87345b25bb9ef95ad2ad92980e6e39ab3812179b17a5c0878a0f	b06e02f69ba3de1879044c869f5927409ee2e275524f8db2ff057ece351432fd	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
62c22e096de69ff681ac	ZL3b	f107v	f107	9	f107v.29	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	17dffa25083c3d40deb1ac603baf2e24003a555e798be588b75224442f9cb235	9649334a20ba05e0b8ba59f44493de083a01790066a90880e4b7ba46bcd285a2	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
051627006f27becf964a	ZL3b	f107v	f107	10	f107v.32	9	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	7dfab95f7a9e506a83ac8909a5f179db8b5c322c36cb992ab54f956ec3acfe47	9e25310cd9bb649d71f257dccc8c0a8712232289d74e6e84002f163ad73caf48	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
5d1ac86b0734c3793e09	ZL3b	f107v	f107	11	f107v.35	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	57fb8ee03e6abf959fd8f6f39914e308917d2c7bc6773c963ad16a346c6f5731	74e8ed2d3c2223fa3f923226b94b73cc202a82a66768af06a8539981008d73b1	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
817cfb5b023bd7406e51	ZL3b	f107v	f107	12	f107v.37	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	739dc94098aa34ffcf0e102efe7a9cc829aeed7e40bacf3c9bb1ad0beeade89a	8afc5f9394276bbac6e2a7862f93a3b7a3707ac3dc6e5668ff3166ddbfcbfcc6	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
5bb57472cd12082dbcdb	ZL3b	f107v	f107	13	f107v.41	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	46100b0186951550998194ed4e841d85749267cd71841c7b51530703ea6333f8	c55ae48ac4f66e195acb213173a221bac6d3a3bae93c627d6047caa1da066a86	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
16e87f5c89855a320c9c	ZL3b	f107v	f107	14	f107v.43	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	fbc747bc4a3519bb5b77a48c385f008dedfbb39ff04a9604819c6e0e3555f554	824ad0fb283b4090694ff078ed0dc9d0d332bc5ec1e8a0567dcfbb33ace1bbf2	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
5695a88cefa311dc9a3a	ZL3b	f107v	f107	15	f107v.45	8	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	68705db3be48f67431f8527b483089c294e95f0b846d513aa585970cff665f10	ecdec91754c432b780182c0fefec8f3c77830c3ccbb069baa054d9a01209a327	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
95a53050d22dd122076e	ZL3b	f112v	f112	1	f112v.1	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	2f82176bfebb4e830368e8cbb8ae5f0b5781b74564e4babf13612324b567eeb9	420da0f7a18da10549693912ec04efb3b327f9ed3199c25ad6f57857e4548da7	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
9d88571a63c1339ca49c	ZL3b	f112v	f112	2	f112v.7	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	7d784ac4acb360241586c4852c3488a9ad0da70138127d1eed12a64c6c93a00e	23183bc8401a6393f93d8057504214688ddb8ee0aa59129902463962dda5c152	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
b78a8f8306bf74d1c17e	ZL3b	f112v	f112	3	f112v.11	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	e97acc259df99350e276946708dfbd973548c6a8a6d03cf70f6feb767ec3e057	df0d47ed2af7f00de0361429b5dbc7bf6cdeb506ac35c8f8e9aa4328f9053518	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
311b6895f20a8a43e0bd	ZL3b	f112v	f112	4	f112v.15	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	85bf9b147b6ba26235c76dff5ddd761bda0b69e6e6bdae75d13ee087a04cc0fa	3fa9269190115284f2f0e39d11eceb40e010762f732685da8555fe6da930382a	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
e13cb328027befbcc0b3	ZL3b	f112v	f112	5	f112v.20	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	e439da4609de571dbb064372924aac0533d6ecc747205fc192fd2e19eba29a85	b32ba1d4aea30d82715665976576fb78acedf32ccb728467161bc1c881faafed	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
4a6dc16d0a5c5265f6dd	ZL3b	f112v	f112	6	f112v.23	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	b84aa55eed91158aeb3abae55cb2357c0a462c578e68b4093533edc95e20cac7	e3040d73b69a98c567ac5606f2eccc1d15d9690b5b7f544f32235640607f7572	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
