book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	PAGE_HOST_CHAR3	463	1	1	1	1	1	0.00215982721382	0.498924731183
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	COMPILER_SIGNATURE	463	1	1	1	1	1	0.00215982721382	0.514285714286
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	MARKER_AND_POSITION	463	305	0.00327868852459	0	0	0	0.658747300216	0.529411764706
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	HOST_PLUS_COMPILER	463	1	1	1	1	1	0.00215982721382	0.305555555556
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	RAW_GROUP_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.270072992701
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	RAW_CHAR3	463	3	0.333333333333	0	1	1	0.00647948164147	0.386813186813
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	PAGE_HOST_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.327586206897
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	PAGE_HOST_CHAR3	463	2	0.5	0	1	1	0.00431965442765	0.386597938144
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	COMPILER_SIGNATURE	463	58	0.0172413793103	0	0	0	0.125269978402	0.392857142857
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	MARKER_AND_POSITION	463	73	0.013698630137	0	0	0	0.157667386609	0.714285714286
Band2	NB_B2_R000010	CONTENT	NB_B2_R000074	0.366972477064	HOST_PLUS_COMPILER	463	1	1	1	1	1	0.00215982721382	0.270072992701
Band2	NB_B2_R000010	ADDRESSEE	NB_B2_R000209	0.75	RAW_GROUP_IDENTITY	463	7	0.142857142857	0	1	1	0.0151187904968	0.217948717949
