panel	language_id	glottocode	family	parameter_id	concepticon_gloss	asjp_form_id	phoneme_segments	source_record_count_for_concept	loan_flag_retained_not_selected_on
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	58	HEAR	ARMENIAN-58-1	l ə s a l	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	61	DIE	ARMENIAN-61-1	m a r n a l	2	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	66	COME	ARMENIAN-66-1	g o l	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	72	SUN	ARMENIAN-72-1	o r a v	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	74	STAR	ARMENIAN-74-1	ɐ s t ə x	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	75	WATER	ARMENIAN-75-1	dʒ u r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	77	STONE	ARMENIAN-77-1	kʰ o r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	82	FIRE	ARMENIAN-82-1	k r ɐ k	2	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	85	PATH	ARMENIAN-85-1	o r o h a t	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	86	MOUNTAIN	ARMENIAN-86-1	l a r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	92	NIGHT	ARMENIAN-92-1	g i ʃ a r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	95	FULL	ARMENIAN-95-1	l i	2	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	96	NEW	ARMENIAN-96-1	n o r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	100	NAME	ARMENIAN-100-1	ɐ n u n	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	1	I	CHECHEN-1-1	s o	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	2	THOU	CHECHEN-2-1	h o	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	3	WE	CHECHEN-3-1	ʃ u	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	11	ONE	CHECHEN-11-1	ts χ ɐ ʔ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	12	TWO	CHECHEN-12-1	ʃ i ʔ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	18	PERSON	CHECHEN-18-1	s t ɐ g	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	19	FISH	CHECHEN-19-1	tʃʼ ɐ r ɐ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	21	DOG	CHECHEN-21-1	ʒˠ a l ɐ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	22	LOUSE	CHECHEN-22-1	m a z ɐ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	23	TREE	CHECHEN-23-1	d i t	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	25	LEAF	CHECHEN-25-1	χ ɐ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	28	SKIN	CHECHEN-28-1	tʃʼ qʼ u o r	2	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	30	BLOOD	CHECHEN-30-1	tsʼ i j	2	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	31	BONE	CHECHEN-31-1	d a χ ɐ k	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	34	HORN (ANATOMY)	CHECHEN-34-1	m ɐ χ ɐ	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	39	EAR	CHECHEN-39-1	l a r g	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	40	EYE	CHECHEN-40-1	bˠ ɐ r g	1	false
UNRELATED_CONTROL	CHECHEN	chec1245	Nakh-Daghestanian	41	NOSE	CHECHEN-41-1	m ɐ r ɐ	1	false
